Name,Website,Self-Hosted,Modern Web UI,Tagging,Non-Destructive Import,OCR,Watch Folder,Email Import,Open Source,Filesystem Export
Mayan EDMS,https://www.mayan-edms.com/,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,
Paperless,https://github.com/the-paperless-project/paperless,Yes,No,Yes,No,Yes,Yes,Yes,Yes,
Ambar.cloud,https://ambar.cloud/,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,
Elastic Search Enterprise Search,,,,,,,,,,
OpenDocMan,https://www.opendocman.com/,Yes,No,No,?,No,No,?,Yes,
Alfresco,https://www.alfresco.com/,Yes,Yes,Yes,?,No - needs plugin,No - needs plugin,,No,
LogicalDOC,https://www.logicaldoc.com/,Yes,No,Yes,?,No - paid feature,No - paid feature,?,Yes,
OpenKM,https://www.openkm.ca/en/screenshots.html,No,No,,,,,,,
SeedDMS,,Yes,Yes,Yes,?,No - needs plugin,Yes,?,,
Nuxeo,,Yes,Yes,Yes,?,No - needs script,Yes,?,Yes,
Casebox,,Yes,No,,,Yes,,,Yes - Unmaintained,
EcoDMS,,,,,,,,,,
Paperport,,,,,,,,,,
Teedy/sismicsdocs,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,
Perkeep,,,,,,,,,,
Krystal DMS,,,,,,,,,,
DevonThink Pro/Server,,Yes/No,Yes,Yes,No,Yes,Yes,?,No,
Neat Desk,,,,,,,,,,
EagleFiler,,,,,,,,,,
Paperless 3,,,,,,,,,,
DocMoto,,,,,,,,,,
OpenKM,,,,,,,,,,
Nuxeo,,,,,,,,,,
laserfiche,,,,,,,,,,
Docuware,,,,,,,,,,
Opentext,,,,,,,,,,
treegonizer,,,,,,,,,,
Open Semantic Search Server,https://www.opensemanticsearch.org/doc/admin/install/search_server,,,,,,,,,
Fileago,https://github.com/fileago/fileago,,,,,,,,,
Tagspaces,https://www.tagspaces.org/,,,,,,,,,
FileCenter,,,,,,,,,,
Odoo,,Yes,,,,No,,,No - Paid edition has DMS features,
resourcespace,,,,,,,,,,
Ademero Content Central,,,,,,,,,,
The Brain,,,,,,,,,,
Docuware,,,,,,,,,,
Dokmee,,,,,,,,,,
EfileCabinet,,,,,,,,,,
Freemind,,,,,,,,,,
XMind,,,,,,,,,,
Zoho Docs,,,,,,,,,,
Sharepoint,,,,,,,,,,
Datamagine,,,,,,,,,,
PandaDoc,,,,,,,,,,
DocStar,,,,,,,,,,
Wuha,,,,,,,,,,
fess,,,,,,,,,,
addsearch,,,,,,,,,,
ContraxSuite,,,,,,,,,,
https://hesbox.com/en/overview/screenshots,,,,,,,,,,
https://indicaplatform.com/content/esearch-demo,,,,,,,,,,
https://docs.coveo.com/en/1997/cloud-v2-administrators/available-coveo-cloud-v2-connectors,,,,,,,,,,
https://www.funnelback.com/product/enterprise-search,,,,,,,,,,
https://qsensei.com,,,,,,,,,,
https://developer.searchblox.com/docs/license-key,,,,,,,,,,
https://www.datafari.com/en/fonctionnalities.html#crawling,,,,,,,,,,
https://www.predictiveanalyticstoday.com/top-open-source-big-data-enterprise-search-software/,,,,,,,,,,
https://www.softwaretestinghelp.com/best-document-management-systems/,,,,,,,,,,
https://www.bitrix24.com/self-hosted/,,,,,,,,,,
https://www.documize.com/,,,,,,,,,,
